wave,blue
1530,0.561544956
1531,0.559716926
1532,0.557871962
1533,0.556009694
1534,0.554129736
1535,0.552231693
1536,0.550315152
1537,0.548379689
1538,0.546424861
1539,0.544450209
1540,0.542455259
1541,0.540439517
1542,0.53840247
1543,0.536343584
1544,0.534262307
1545,0.532158061
1546,0.530030246
1547,0.527878236
1548,0.52570138
1549,0.523498998
1550,0.521270381
1551,0.520277775
1552,0.519279845
1553,0.518276522
1554,0.517267738
1555,0.516253424
1556,0.515233508
1557,0.514207917
1558,0.513176577
1559,0.512139413
1560,0.511096347
1561,0.5100473
1562,0.508992192
1563,0.507930939
1564,0.506863459
1565,0.505789665
1566,0.504709468
1567,0.503622781
1568,0.50252951
1569,0.501429562
1570,0.50032284
1571,0.499209248
1572,0.498088684
1573,0.496961046
1574,0.495826228
1575,0.494684124
1576,0.493534622
1577,0.49237761
1578,0.491212974
1579,0.490040593
1580,0.488860348
1581,0.487672114
1582,0.486475763
1583,0.485271166
1584,0.484058188
1585,0.482836691
1586,0.481606536
1587,0.480367577
1588,0.479119666
1589,0.47786265
1590,0.476596374
1591,0.475320676
1592,0.47403539
1593,0.472740349
1594,0.471435375
1595,0.470120291
1596,0.468794911
1597,0.467459046
1598,0.466112499
1599,0.46475507
1600,0.463386551
1601,0.462941385
1602,0.462495028
1603,0.462047474
1604,0.461598714
1605,0.46114874
1606,0.460697547
1607,0.460245124
1608,0.459791465
1609,0.459336562
1610,0.458880407
1611,0.458422991
1612,0.457964306
1613,0.457504345
1614,0.457043099
1615,0.456580559
1616,0.456116718
1617,0.455651566
1618,0.455185094
1619,0.454717295
1620,0.454248158
1621,0.453777676
1622,0.453305839
1623,0.452832638
1624,0.452358064
1625,0.451882107
1626,0.451404758
1627,0.450926008
1628,0.450445846
1629,0.449964264
1630,0.449481251
1631,0.448996797
1632,0.448510892
1633,0.448023527
1634,0.44753469
1635,0.447044371
1636,0.44655256
1637,0.446059247
1638,0.445564419
1639,0.445068068
1640,0.44457018
1641,0.444070747
1642,0.443569755
1643,0.443067194
1644,0.442563053
1645,0.442057319
1646,0.44154998
1647,0.441041026
1648,0.440530443
1649,0.44001822
1650,0.439504345
1651,0.439270215
1652,0.43903574
1653,0.438800919
1654,0.43856575
1655,0.438330232
1656,0.438094365
1657,0.437858146
1658,0.437621574
1659,0.437384649
1660,0.437147369
1661,0.437236391
1662,0.437325362
1663,0.437414284
1664,0.437503156
1665,0.437591978
1666,0.43768075
1667,0.437769473
1668,0.437858146
1669,0.437946769
1670,0.438035343
1671,0.438123867
1672,0.438212342
1673,0.438300768
1674,0.438389145
1675,0.438477472
1676,0.43856575
1677,0.438653979
1678,0.43874216
1679,0.438830291
1680,0.438918373
1681,0.439006407
1682,0.439094391
1683,0.439182328
1684,0.439270215
1685,0.439358054
1686,0.439445845
1687,0.439533587
1688,0.43962128
1689,0.439708926
1690,0.439796523
1691,0.439884072
1692,0.439971573
1693,0.440059026
1694,0.440146431
1695,0.440233788
1696,0.440321097
1697,0.440408358
1698,0.440495571
1699,0.440582737
1700,0.440669855
1701,0.441249431
1702,0.44182691
1703,0.442402311
1704,0.44297565
1705,0.443546946
1706,0.444116214
1707,0.444683472
1708,0.445248736
1709,0.445812023
1710,0.446373348
1711,0.446932727
1712,0.447490177
1713,0.448045711
1714,0.448599347
1715,0.449151098
1716,0.44970098
1717,0.450249008
1718,0.450795195
1719,0.451339557
1720,0.451882107
1721,0.45242286
1722,0.452961829
1723,0.453499028
1724,0.45403447
1725,0.454568169
1726,0.455100139
1727,0.455630391
1728,0.456158939
1729,0.456685796
1730,0.457210974
1731,0.457734486
1732,0.458256344
1733,0.458776559
1734,0.459295145
1735,0.459812113
1736,0.460327474
1737,0.460841241
1738,0.461353425
1739,0.461864036
1740,0.462373087
1741,0.462880588
1742,0.463386551
1743,0.463890985
1744,0.464393903
1745,0.464895314
1746,0.465395229
1747,0.465893658
1748,0.466390613
1749,0.466886101
1750,0.467380135
1751,0.468010391
1752,0.468638299
1753,0.46926388
1754,0.469887154
1755,0.470508141
1756,0.47112686
1757,0.471743331
1758,0.472357572
1759,0.472969602
1760,0.47357944
1761,0.474187104
1762,0.474792611
1763,0.47539598
1764,0.475997229
1765,0.476596374
1766,0.477193432
1767,0.477788421
1768,0.478381357
1769,0.478972257
1770,0.479561137
1771,0.480148012
1772,0.480732899
1773,0.481315814
1774,0.481896771
1775,0.482475786
1776,0.483052875
1777,0.483628051
1778,0.48420133
1779,0.484772727
1780,0.485342255
1781,0.485909929
1782,0.486475763
1783,0.487039771
1784,0.487601966
1785,0.488162363
1786,0.488720973
1787,0.489277811
1788,0.48983289
1789,0.490386222
1790,0.490937821
1791,0.491487698
1792,0.492035867
1793,0.49258234
1794,0.493127128
1795,0.493670245
1796,0.494211702
1797,0.49475151
1798,0.495289682
1799,0.495826228
1800,0.496361161
1801,0.496861205
1802,0.49735985
1803,0.497857105
1804,0.498352979
1805,0.49884748
1806,0.499340619
1807,0.499832403
1808,0.50032284
1809,0.500811941
1810,0.501299713
1811,0.501786164
1812,0.502271303
1813,0.502755138
1814,0.503237677
1815,0.503718928
1816,0.5041989
1817,0.5046776
1818,0.505155036
1819,0.505631216
1820,0.506106147
1821,0.506579837
1822,0.507052294
1823,0.507523525
1824,0.507993537
1825,0.508462339
1826,0.508929936
1827,0.509396336
1828,0.509861547
1829,0.510325575
1830,0.510788428
1831,0.511250112
1832,0.511710634
1833,0.512170002
1834,0.512628221
1835,0.513085298
1836,0.513541241
1837,0.513996055
1838,0.514449747
1839,0.514902323
1840,0.515353791
1841,0.515804156
1842,0.516253424
1843,0.516701602
1844,0.517148695
1845,0.517594711
1846,0.518039655
1847,0.518483532
1848,0.51892635
1849,0.519368113
1850,0.519808828
1851,0.539569136
1852,0.557486434
1853,0.573917902
1854,0.589122686
1855,0.603295289
1856,0.616585743
1857,0.629112423
1858,0.640970504
1859,0.652237757
1860,0.662978619
1861,0.673247125
1862,0.683089076
1863,0.692543658
1864,0.701644681
1865,0.710421537
1866,0.718899951
1867,0.72710258
1868,0.735049489
